id,keyword
1,편성 정상화/100억원 적자/BEP
2,방송법/외국인/방송통신위원회
3,티빙 가격 인상 /광고요금제/편성 정상화
4,88.3억달러/15억달러/13%
5,170억 달러/한국/25억 달러
6,MAU/521만명/광고 요금제
7,Leo/11%/15%
8,3분기/1881명/12.4%
9,음악사업부/커머스 성수기/피프스시즌
10,수익성/제로베이스원/신규IP
11,IP사업/외주제작/수익
12,1조원/K-콘텐츠/30%
13,전략펀드/제작사/IP확보
14,5%/10%/15%
15,2020년/6억/12억
16,TWS/아일릿/라이즈
17,내 남편과 결혼해줘/선재 업고 튀어/정년이
18,닭강정/트리거/조명가게
19,넷플릭스/CJ ENM/스포티파이
20,"271,777/넷플릭스/소니"
21,유니버셜 뮤직/워너 뮤직 그룹/하이브
22,4.1%/9.3조원/모바일 광고
23,넷플릭스/쿠팡/티빙
24,파묘/듄2/댓글부대
25,57만 장/175%/10분
26,Seven/16456201/스트리밍
27,티빙/500만/유료 가입자
28,광고시장/3%/YoY
29,합병/1.1천만/비용절감
30,4DX/Boutique/특별관
31,스카이라이프/760억/48억
32,디지털 광고/TV 광고/이동
33,에스엠/모멘텀/반전
34,peak-out/테마주/신규 활동 부재
35,영업이익/JYP/에스엠
