,관서명,소계(발생),소계(검거),살인(발생),살인(검거),강도(발생),강도(검거),강간(발생),강간(검거),절도(발생),절도(검거),폭력(발생),폭력(검거),구별,경찰서,검거율,점수,lat,lng
1,중부서,2860,1716,2,2,3,2,105,65,1395,477,1355,1170,중구,서울중부경찰서,60.0,10.709938364747675,37.5636465,126.9895796
2,종로서,2472,1589,3,3,6,5,115,98,1070,413,1278,1070,종로구,서울종로경찰서,64.2799352750809,36.14902654080056,37.5755578,126.9848674
3,남대문서,2094,1226,1,0,6,4,65,46,1153,382,869,794,중구,서울남대문경찰서,58.54823304680038,2.08092293347418,37.5547584,126.9734981
4,서대문서,4029,2579,2,2,5,4,154,124,1812,738,2056,1711,서대문구,서울서대문경찰서,64.0109208240258,34.55005788796416,37.5647848,126.9667762
5,혜화서,2233,1354,3,2,5,4,96,63,1114,424,1015,861,종로구,서울혜화경찰서,60.6359158083296,14.489696066886484,37.5718529,126.9989143
6,용산서,3820,2483,5,5,14,14,194,173,1557,587,2050,1704,용산구,서울용산경찰서,65.0,40.42894874811384,37.5387099,126.9659183
7,성북서,2237,1498,2,2,2,1,86,71,953,409,1194,1015,성북구,서울성북경찰서,66.9646848457756,52.10664661444324,37.5897482,127.0161353
8,동대문서,4720,3205,5,5,13,13,173,146,1981,814,2548,2227,동대문구,서울동대문경찰서,67.90254237288136,57.6810861316781,37.58506149999999,127.0457679
9,마포서,5854,3597,8,8,14,10,294,247,2555,813,2983,2519,마포구,서울마포경찰서,61.44516569866758,19.299717245624958,37.550814,126.954028
10,영등포서,6867,4154,14,12,22,20,295,183,2964,978,3572,2961,영등포구,서울영등포경찰서,60.49220911606233,13.635531930956429,37.5153176,126.905728
11,성동서,3358,2123,4,4,9,8,126,119,1607,597,1612,1395,성동구,서울성동경찰서,63.222156045265045,29.86179615795926,37.5617309,127.0363806
12,동작서,4074,2397,5,5,9,5,285,139,1865,661,1910,1587,동작구,서울동작경찰서,58.83652430044183,3.7944690855549825,37.5130866,126.9428498
13,광진서,5909,3707,4,4,14,26,240,220,3026,1277,2625,2180,광진구,서울광진경찰서,62.734811304789304,26.96511547746377,37.542873,127.083821
14,서부서,2085,1393,2,2,2,1,70,59,819,293,1192,1038,은평구,서울서부경찰서,66.81055155875299,51.19050886295382,37.6128611,126.9274951
15,강북서,4257,3113,7,8,14,13,153,126,1434,618,2649,2348,강북구,서울강북경찰서,73.1266149870801,88.73193978464438,37.63730390000001,127.0273399
16,금천서,3781,2796,3,4,6,6,151,122,1567,888,2054,1776,금천구,서울금천경찰서,73.94869082253372,93.61819584259648,37.4568722,126.8970429
17,중랑서,5193,3405,13,12,11,9,187,148,2135,829,2847,2407,중랑구,서울중랑경찰서,65.56903523974582,43.81118158781527,37.618692,127.1047136
18,강남서,5194,3370,3,3,15,12,300,225,2411,984,2465,2146,강남구,서울강남경찰서,64.88255679630342,39.730889590090946,37.5094352,127.0669578
19,관악서,6345,3712,9,8,12,14,320,221,2706,827,3298,2642,관악구,서울관악경찰서,58.50275807722616,1.810628714882308,37.4743789,126.9509748
20,강서서,5585,4190,7,8,13,13,262,191,2096,1260,3207,2718,강서구,서울강서경찰서,75.02238137869293,100.0,37.5397827,126.8299968
21,강동서,5244,3171,4,3,6,8,156,123,2366,789,2712,2248,강동구,서울강동경찰서,60.46910755148741,13.498220803461647,37.528511,127.1268224
22,종암서,1917,1231,3,3,3,3,64,53,832,332,1015,840,성북구,서울종암경찰서,64.2149191444966,35.762583528816364,37.6020592,127.0321577
23,구로서,5646,3502,8,6,15,11,281,164,2335,889,3007,2432,구로구,서울구로경찰서,62.0262132483174,22.753348877879436,37.494931,126.886731
24,서초서,4183,2714,7,4,8,5,334,193,1982,905,1852,1607,서초구,서울서초경찰서,64.8816638775998,39.72558225804611,37.4956054,127.0052504
25,양천서,4528,2815,3,5,6,3,120,105,1890,672,2509,2030,양천구,서울양천경찰서,62.168727915194346,23.600427850819038,37.5165667,126.8656763
26,송파서,6778,4113,11,10,13,10,220,178,3239,1129,3295,2786,송파구,서울송파경찰서,60.68161699616405,14.761334882043341,37.5019065,127.1271513
27,노원서,5130,3268,10,10,7,7,197,121,2193,801,2723,2329,노원구,서울노원경찰서,63.70370370370371,32.724020130204124,37.6425238,127.0717076
28,방배서,1261,736,1,2,1,1,59,56,653,186,547,491,서초구,서울방배경찰서,58.366375892149094,1.0,37.4945959,126.9831279
29,은평서,2660,1774,1,1,7,5,96,82,1095,418,1461,1268,은평구,서울은평경찰서,66.69172932330827,50.484253013162515,37.6283597,126.9287226
30,도봉서,2664,1900,3,3,9,10,102,106,1063,478,1487,1303,도봉구,서울도봉경찰서,71.32132132132132,78.0016315451023,37.6533589,127.052682
31,수서서,3423,2362,10,7,6,6,149,124,1439,666,1819,1559,강남구,서울수서경찰서,69.00379783815367,64.22673065311145,37.49349,127.0772119
